Season,Date,Time,Home,Away,Home_Score,Away_Score,result
2017,16/12/16,19:30,Adelaide 36ers,Sydney Kings,82,80,1
2017,17/12/16,19:30,Brisbane Bullets,Melbourne United,100,90,1
2017,17/12/16,17:30,Cairns Taipans,Illawarra Hawks,99,82,1
2017,18/12/16,15:00,Sydney Kings,Adelaide 36ers,96,103,0
2017,19/12/16,19:30,Brisbane Bullets,Illawarra Hawks,85,91,0
2017,22/12/16,19:30,Adelaide 36ers,Perth Wildcats,78,74,1
2017,23/12/16,19:30,Sydney Kings,Illawarra Hawks,75,87,0
2017,26/12/16,19:30,Melbourne United,Brisbane Bullets,97,59,1
2017,29/12/16,19:30,Cairns Taipans,Melbourne United,78,79,0
2017,30/12/16,19:30,Sydney Kings,NZ Breakers,85,80,1
2017,31/12/16,19:30,Brisbane Bullets,Cairns Taipans,93,76,1
2017,31/12/16,17:30,Illawarra Hawks,Perth Wildcats,87,95,0
2017,1/1/17,15:00,Melbourne United,Adelaide 36ers,104,73,1
2017,5/1/17,19:35,Adelaide 36ers,Illawarra Hawks,117,85,1
2017,6/1/17,19:30,Cairns Taipans,NZ Breakers,65,63,1
2017,7/1/17,19:30,Sydney Kings,Perth Wildcats,74,80,0
2017,7/1/17,17:30,Illawarra Hawks,Melbourne United,106,88,1
2017,8/1/17,15:00,NZ Breakers,Adelaide 36ers,95,113,0
2017,9/1/17,19:30,Brisbane Bullets,Perth Wildcats,68,72,0
2017,12/1/17,19:30,Adelaide 36ers,Melbourne United,100,73,1
2017,13/1/17,19:30,Illawarra Hawks,Brisbane Bullets,85,80,1
2017,13/1/17,17:30,NZ Breakers,Sydney Kings,92,74,1
2017,14/1/17,21:30,Perth Wildcats,Adelaide 36ers,84,95,0
2017,14/1/17,19:30,Melbourne United,Cairns Taipans,92,85,1
2017,15/1/17,15:00,Brisbane Bullets,NZ Breakers,82,84,0
2017,16/1/17,19:30,Cairns Taipans,Perth Wildcats,80,78,1
2017,19/1/17,19:30,Adelaide 36ers,Brisbane Bullets,101,68,1
2017,20/1/17,21:30,Perth Wildcats,Cairns Taipans,84,78,1
2017,20/1/17,19:30,Illawarra Hawks,NZ Breakers,86,95,0
2017,21/1/17,19:30,Adelaide 36ers,Sydney Kings,87,73,1
2017,21/1/17,17:30,Brisbane Bullets,Melbourne United,88,71,1
2017,22/1/17,17:00,NZ Breakers,Perth Wildcats,86,82,1
2017,22/1/17,15:00,Cairns Taipans,Illawarra Hawks,85,79,1
2017,26/1/17,17:30,NZ Breakers,Cairns Taipans,81,94,0
2017,27/1/17,19:30,Brisbane Bullets,Sydney Kings,77,80,0
2017,28/1/17,21:30,Perth Wildcats,Melbourne United,73,71,1
2017,28/1/17,19:30,Illawarra Hawks,Adelaide 36ers,95,92,1
2017,29/1/17,19:00,Cairns Taipans,Brisbane Bullets,97,83,1
2017,29/1/17,15:00,Sydney Kings,NZ Breakers,84,57,1
2017,3/2/17,21:30,Perth Wildcats,Brisbane Bullets,94,63,1
2017,3/2/17,19:30,Illawarra Hawks,Cairns Taipans,90,73,1
2017,4/2/17,19:30,Sydney Kings,Melbourne United,76,89,0
2017,4/2/17,17:30,Adelaide 36ers,NZ Breakers,87,88,0
2017,5/2/17,15:00,Cairns Taipans,Perth Wildcats,85,77,1
2017,6/2/17,19:30,Melbourne United,Illawarra Hawks,78,72,1
2017,9/2/17,19:30,Cairns Taipans,Adelaide 36ers,89,85,1
2017,10/2/17,21:30,Perth Wildcats,Sydney Kings,101,74,1
2017,10/2/17,17:30,NZ Breakers,Melbourne United,88,70,1
2017,11/2/17,19:30,Adelaide 36ers,Cairns Taipans,89,98,0
2017,11/2/17,17:30,Illawarra Hawks,Brisbane Bullets,106,79,1
2017,12/2/17,15:00,Melbourne United,Perth Wildcats,94,96,0
2017,16/2/17,19:30,Adelaide 36ers,Illawarra Hawks,93,78,1
2017,17/2/17,19:30,Cairns Taipans,Perth Wildcats,69,91,0
2017,19/2/17,15:00,Illawarra Hawks,Adelaide 36ers,100,94,1
2017,20/2/17,21:30,Perth Wildcats,Cairns Taipans,74,66,1
2017,23/2/17,19:30,Adelaide 36ers,Illawarra Hawks,98,106,0
2017,26/2/17,19:00,Perth Wildcats,Illawarra Hawks,89,77,1
2017,1/3/17,19:30,Illawarra Hawks,Perth Wildcats,77,89,0
2017,5/3/17,15:00,Perth Wildcats,Illawarra Hawks,95,86,1
2018,5/10/17,19:30,Adelaide 36ers,Melbourne United,97,99,0
2018,6/10/17,19:30,Cairns Taipans,Illawarra Hawks,88,87,1
2018,7/10/17,20:30,Perth Wildcats,Brisbane Bullets,96,86,1
2018,7/10/17,17:30,Sydney Kings,Adelaide 36ers,96,105,0
2018,8/10/17,15:00,NZ Breakers,Cairns Taipans,71,82,0
2018,12/10/17,19:30,Cairns Taipans,Adelaide 36ers,70,96,0
2018,13/10/17,21:30,Perth Wildcats,Illawarra Hawks,74,64,1
2018,13/10/17,17:30,NZ Breakers,Sydney Kings,87,85,1
2018,14/10/17,17:30,Adelaide 36ers,Melbourne United,79,99,0
2018,15/10/17,15:00,Sydney Kings,Illawarra Hawks,103,87,1
2018,19/10/17,17:30,NZ Breakers,Sydney Kings,90,73,1
2018,20/10/17,21:30,Perth Wildcats,Melbourne United,89,84,1
2018,20/10/17,19:30,Brisbane Bullets,Cairns Taipans,83,78,1
2018,21/10/17,17:30,Adelaide 36ers,Sydney Kings,114,84,1
2018,22/10/17,19:00,Cairns Taipans,Perth Wildcats,90,69,1
2018,22/10/17,17:00,Illawarra Hawks,Brisbane Bullets,105,96,1
2018,22/10/17,15:00,Melbourne United,NZ Breakers,76,88,0
2018,26/10/17,21:30,Perth Wildcats,Illawarra Hawks,105,74,1
2018,26/10/17,19:30,Brisbane Bullets,NZ Breakers,96,101,0
2018,27/10/17,19:30,Cairns Taipans,Adelaide 36ers,80,84,0
2018,28/10/17,17:30,Brisbane Bullets,Melbourne United,87,85,1
2018,29/10/17,15:00,Illawarra Hawks,Sydney Kings,94,99,0
2018,2/11/17,19:30,Melbourne United,Cairns Taipans,87,65,1
2018,2/11/17,17:30,NZ Breakers,Adelaide 36ers,92,88,1
2018,3/11/17,21:30,Perth Wildcats,Sydney Kings,93,69,1
2018,3/11/17,19:30,Brisbane Bullets,Illawarra Hawks,81,112,0
2018,4/11/17,19:30,Cairns Taipans,NZ Breakers,70,73,0
2018,4/11/17,17:30,Melbourne United,Adelaide 36ers,101,84,1
2018,5/11/17,15:00,Sydney Kings,Illawarra Hawks,83,93,0
2018,9/11/17,19:30,Cairns Taipans,Melbourne United,92,69,1
2018,9/11/17,17:30,NZ Breakers,Perth Wildcats,88,84,1
2018,11/11/17,19:30,Adelaide 36ers,Illawarra Hawks,87,96,0
2018,11/11/17,17:30,Melbourne United,Sydney Kings,108,90,1
2018,12/11/17,19:00,Perth Wildcats,NZ Breakers,82,88,0
2018,12/11/17,15:00,Brisbane Bullets,Cairns Taipans,82,74,1
2018,16/11/17,19:30,Illawarra Hawks,Sydney Kings,97,93,1
2018,17/11/17,19:30,Brisbane Bullets,Perth Wildcats,85,90,0
2018,18/11/17,19:30,Cairns Taipans,Illawarra Hawks,87,66,1
2018,18/11/17,17:30,Adelaide 36ers,Sydney Kings,108,93,1
2018,19/11/17,15:00,Melbourne United,Perth Wildcats,59,91,0
2018,19/11/17,13:00,NZ Breakers,Brisbane Bullets,90,82,1
2018,30/11/17,19:30,Sydney Kings,Cairns Taipans,81,72,1
2018,1/12/17,19:30,Adelaide 36ers,Brisbane Bullets,84,83,1
2018,1/12/17,17:30,NZ Breakers,Perth Wildcats,73,89,0
2018,2/12/17,17:30,Cairns Taipans,Sydney Kings,80,71,1
2018,3/12/17,15:00,Brisbane Bullets,NZ Breakers,81,76,1
2018,4/12/17,19:30,Melbourne United,Illawarra Hawks,91,73,1
2018,7/12/17,17:30,NZ Breakers,Brisbane Bullets,96,89,1
2018,8/12/17,21:30,Perth Wildcats,Adelaide 36ers,88,79,1
2018,9/12/17,19:30,Cairns Taipans,Melbourne United,79,70,1
2018,9/12/17,17:30,Sydney Kings,Brisbane Bullets,77,85,0
2018,10/12/17,17:00,Adelaide 36ers,NZ Breakers,95,92,1
2018,10/12/17,15:00,Illawarra Hawks,Perth Wildcats,91,99,0
2018,11/12/17,19:30,Melbourne United,Sydney Kings,95,69,1
2018,14/12/17,19:30,Cairns Taipans,Brisbane Bullets,74,75,0
2018,15/12/17,17:30,NZ Breakers,Adelaide 36ers,75,90,0
2018,16/12/17,19:30,Illawarra Hawks,Melbourne United,78,84,0
2018,16/12/17,17:30,Perth Wildcats,Brisbane Bullets,76,82,0
2018,17/12/17,15:00,Sydney Kings,Cairns Taipans,88,69,1
2018,21/12/17,19:30,Sydney Kings,NZ Breakers,95,98,0
2018,22/12/17,19:30,Melbourne United,Adelaide 36ers,99,91,1
2018,23/12/17,19:30,Illawarra Hawks,Perth Wildcats,96,84,1
2018,23/12/17,17:30,Brisbane Bullets,Sydney Kings,95,101,0
2018,24/12/17,15:00,Adelaide 36ers,Cairns Taipans,75,94,0
2018,26/12/17,19:30,Melbourne United,Brisbane Bullets,69,68,1
2018,28/12/17,19:30,Illawarra Hawks,Cairns Taipans,106,102,1
2018,29/12/17,19:30,Adelaide 36ers,NZ Breakers,88,85,1
2018,30/12/17,17:30,Sydney Kings,Melbourne United,79,103,0
2018,31/12/17,19:00,Cairns Taipans,Perth Wildcats,68,83,0
2018,31/12/17,15:00,Illawarra Hawks,Brisbane Bullets,104,82,1
2018,4/1/18,19:30,Adelaide 36ers,Perth Wildcats,97,86,1
2018,5/1/18,19:30,Cairns Taipans,Brisbane Bullets,83,80,1
2018,6/1/18,19:30,Illawarra Hawks,Melbourne United,77,79,0
2018,6/1/18,17:30,Sydney Kings,Perth Wildcats,68,76,0
2018,7/1/18,15:00,Brisbane Bullets,Adelaide 36ers,84,95,0
2018,7/1/18,13:00,NZ Breakers,Cairns Taipans,82,69,1
2018,11/1/18,19:30,Adelaide 36ers,Cairns Taipans,100,90,1
2018,12/1/18,21:30,Perth Wildcats,Melbourne United,80,82,0
2018,13/1/18,19:30,Illawarra Hawks,NZ Breakers,90,79,1
2018,13/1/18,17:30,Sydney Kings,Adelaide 36ers,101,104,0
