Date,Home,Away,Score,Season
27.12. 20:00,Adelaide 36ers,Townsville,91 : 84,2014/15
27.12. 19:30,Illawarra Hawks,Cairns Taipans,93 : 100,2014/15
26.12. 19:30,Sydney Kings,NZ Breakers,85 : 97,2014/15
21.12. 17:00,Cairns Taipans,NZ Breakers,83 : 59,2014/15
21.12. 14:00,Melbourne United,Sydney Kings,105 : 101,2014/15
,,,,
19.12. 20:00,Adelaide 36ers,Cairns Taipans,90 : 86,2014/15
19.12. 19:30,Illawarra Hawks,Melbourne United,98 : 103,2014/15
,,,,
19.12. 17:30,NZ Breakers,Townsville,96 : 84,2014/15
18.12. 19:30,Sydney Kings,Perth Wildcats,78 : 74,2014/15
14.12. 17:00,Perth Wildcats,Adelaide 36ers,97 : 76,2014/15
14.12. 14:00,Melbourne United,NZ Breakers,87 : 92,2014/15
13.12. 19:30,Illawarra Hawks,Sydney Kings,82 : 77,2014/15
12.12. 20:30,Cairns Taipans,Townsville,77 : 61,2014/15
12.12. 20:00,Adelaide 36ers,Melbourne United,90 : 77,2014/15
11.12. 17:30,NZ Breakers,Perth Wildcats,77 : 66,2014/15
07.12. 14:00,Melbourne United,Townsville,83 : 79,2014/15
06.12. 20:30,Cairns Taipans,Adelaide 36ers,85 : 80,2014/15
06.12. 19:30,Sydney Kings,NZ Breakers,82 : 69,2014/15
05.12. 21:30,Perth Wildcats,Illawarra Hawks,79 : 55,2014/15
05.12. 20:30,Townsville,Adelaide 36ers,96 : 84,2014/15
30.11. 17:00,Cairns Taipans,Townsville,91 : 82,2014/15
30.11. 14:00,Adelaide 36ers,Sydney Kings,83 : 90,2014/15
28.11. 21:30,Perth Wildcats,Cairns Taipans,84 : 66,2014/15
28.11. 19:30,Illawarra Hawks,Townsville,90 : 76,2014/15
28.11. 17:30,NZ Breakers,Sydney Kings,107 : 96,2014/15
27.11. 19:00,Melbourne United,Adelaide 36ers,94 : 91,2014/15
23.11. 20:30,Townsville,Illawarra Hawks,107 : 75,2014/15
23.11. 14:00,Melbourne United,Perth Wildcats,91 : 76,2014/15
22.11. 20:30,Cairns Taipans,Illawarra Hawks,69 : 65,2014/15
21.11. 20:00,Adelaide 36ers,Perth Wildcats,74 : 84,2014/15
21.11. 17:30,NZ Breakers,Melbourne United,80 : 72,2014/15
20.11. 19:30,Sydney Kings,Cairns Taipans,93 : 76,2014/15
16.11. 14:00,Sydney Kings,Perth Wildcats,66 : 85,2014/15
15.11. 20:00,Adelaide 36ers,Melbourne United,79 : 118,2014/15
14.11. 21:30,Perth Wildcats,Townsville,93 : 78,2014/15
14.11. 17:30,NZ Breakers,Illawarra Hawks,71 : 55,2014/15
12.11. 19:00,Melbourne United,Cairns Taipans,91 : 76,2014/15
09.11. 17:00,Perth Wildcats,Melbourne United,68 : 59,2014/15
09.11. 17:00,Townsville,NZ Breakers,80 : 87,2014/15
09.11. 14:00,Sydney Kings,Adelaide 36ers,107 : 100,2014/15
07.11. 20:30,Cairns Taipans,NZ Breakers,71 : 79,2014/15
07.11. 19:30,Illawarra Hawks,Sydney Kings,53 : 82,2014/15
02.11. 17:00,Townsville,Perth Wildcats,102 : 80,2014/15
02.11. 14:00,Adelaide 36ers,NZ Breakers,93 : 86,2014/15
02.11. 14:00,Melbourne United,Illawarra Hawks,88 : 75,2014/15
01.11. 20:30,Cairns Taipans,Sydney Kings,74 : 62,2014/15
31.10. 19:30,Illawarra Hawks,Perth Wildcats,64 : 83,2014/15
31.10. 17:30,NZ Breakers,Townsville,84 : 70,2014/15
26.10. 14:00,Illawarra Hawks,NZ Breakers,77 : 79,2014/15
25.10. 20:30,Townsville,Melbourne United,92 : 81,2014/15
24.10. 21:30,Perth Wildcats,Sydney Kings,84 : 63,2014/15
23.10. 20:00,Adelaide 36ers,Illawarra Hawks,94 : 73,2014/15
23.10. 17:30,NZ Breakers,Cairns Taipans,76 : 85,2014/15
19.10. 17:00,Illawarra Hawks,Cairns Taipans,89 : 91,2014/15
19.10. 14:00,Melbourne United,NZ Breakers,95 : 74,2014/15
17.10. 21:30,Perth Wildcats,Illawarra Hawks,69 : 59,2014/15
17.10. 20:30,Cairns Taipans,Melbourne United,88 : 73,2014/15
17.10. 19:30,Sydney Kings,Townsville,81 : 86,2014/15
17.10. 17:30,NZ Breakers,Adelaide 36ers,101 : 80,2014/15
12.10. 17:00,Townsville,Adelaide 36ers,83 : 97,2014/15
12.10. 14:00,Melbourne United,Cairns Taipans,61 : 89,2014/15
11.10. 19:30,Sydney Kings,Illawarra Hawks,86 : 83,2014/15
10.10. 21:30,Perth Wildcats,NZ Breakers,70 : 80,2014/15
10.10. 20:00,Adelaide 36ers,Cairns Taipans,87 : 97,2014/15
10.10. 19:30,Illawarra Hawks,Townsville,92 : 83,2014/15
06.03. 17:30,Perth Wildcats ,NZ Breakers,75 : 52,2015/16
04.03. 17:30,NZ Breakers,Perth Wildcats,72 : 68,2015/16
02.03. 21:30,Perth Wildcats,NZ Breakers,82 : 76,2015/16
26.02. 21:30,Perth Wildcats ,Illawarra Hawks,89 : 74,2015/16
21.02. 15:00,Illawarra Hawks,Perth Wildcats,104 : 87,2015/16
20.02. 17:30,NZ Breakers ,Melbourne United,91 : 78,2015/16
19.02. 21:30,Perth Wildcats,Illawarra Hawks,80 : 68,2015/16
18.02. 19:30,Melbourne United,NZ Breakers,82 : 91,2015/16
14.02. 19:00,Perth Wildcats,Adelaide 36ers,100 : 84,2015/16
14.02. 15:00,Melbourne United,NZ Breakers,68 : 70,2015/16
13.02. 19:30,Townsville,Sydney Kings,126 : 123,2015/16
,,,,
12.02. 19:30,Illawarra Hawks,Adelaide 36ers,106 : 95,2015/16
12.02. 17:30,NZ Breakers,Melbourne United,100 : 63,2015/16
11.02. 19:30,Townsville,Cairns Taipans,85 : 68,2015/16
10.02. 19:30,Sydney Kings,Perth Wildcats,103 : 77,2015/16
07.02. 15:00,NZ Breakers,Cairns Taipans,85 : 74,2015/16
06.02. 19:30,Illawarra Hawks,Townsville,104 : 97,2015/16
,,,,
05.02. 21:30,Perth Wildcats,Sydney Kings,95 : 81,2015/16
05.02. 19:30,Cairns Taipans,Adelaide 36ers,95 : 89,2015/16
04.02. 19:30,Illawarra Hawks,Melbourne United,73 : 80,2015/16
03.02. 19:30,Adelaide 36ers,NZ Breakers,84 : 106,2015/16
30.01. 19:30,Adelaide 36ers,Illawarra Hawks,104 : 90,2015/16
29.01. 21:30,Perth Wildcats,Melbourne United,85 : 91,2015/16
,,,,
29.01. 19:30,Cairns Taipans,Sydney Kings,81 : 76,2015/16
29.01. 17:30,NZ Breakers,Townsville,77 : 74,2015/16
28.01. 19:30,Illawarra Hawks,Adelaide 36ers,104 : 97,2015/16
27.01. 19:30,Townsville,Sydney Kings,96 : 88,2015/16
25.01. 21:30,Perth Wildcats,Cairns Taipans,84 : 74,2015/16
23.01. 19:30,Cairns Taipans,NZ Breakers,90 : 87,2015/16
22.01. 19:30,Adelaide 36ers,Melbourne United,90 : 81,2015/16
21.01. 21:30,Perth Wildcats,Illawarra Hawks,95 : 72,2015/16
21.01. 19:30,Townsville,NZ Breakers,89 : 66,2015/16
20.01. 19:30,Adelaide 36ers,Sydney Kings,96 : 89,2015/16
17.01. 15:00,NZ Breakers,Illawarra Hawks,96 : 103,2015/16
,,,,
16.01. 19:30,Townsville,Adelaide 36ers,103 : 108,2015/16
15.01. 21:30,Perth Wildcats,Sydney Kings,95 : 68,2015/16
15.01. 19:30,Melbourne United,Cairns Taipans,98 : 68,2015/16
14.01. 19:30,Illawarra Hawks,NZ Breakers,87 : 69,2015/16
13.01. 19:30,Cairns Taipans,Melbourne United,65 : 83,2015/16
09.01. 19:30,Sydney Kings,Illawarra Hawks,90 : 114,2015/16
08.01. 19:30,Cairns Taipans,Townsville,75 : 61,2015/16
08.01. 17:30,NZ Breakers,Adelaide 36ers,81 : 87,2015/16
07.01. 19:30,Melbourne United,Illawarra Hawks,97 : 96,2015/16
06.01. 19:30,Cairns Taipans,Perth Wildcats,71 : 61,2015/16
02.01. 19:30,Sydney Kings,Cairns Taipans,87 : 77,2015/16
31.12. 19:30,Cairns Taipans,NZ Breakers,73 : 66,2015/16
31.12. 19:30,Townsville,Illawarra Hawks,74 : 98,2015/16
30.12. 19:30,Sydney Kings,Melbourne United,90 : 100,2015/16
27.12. 19:00,Melbourne United,Perth Wildcats,92 : 87,2015/16
27.12. 15:00,Sydney Kings,NZ Breakers,83 : 93,2015/16
23.12. 19:30,Adelaide 36ers,Melbourne United,91 : 81,2015/16
20.12. 15:00,NZ Breakers,Illawarra Hawks,83 : 107,2015/16
19.12. 19:30,Townsville,Perth Wildcats,75 : 58,2015/16
18.12. 19:30,Illawarra Hawks,Sydney Kings,102 : 83,2015/16
17.12. 19:30,Cairns Taipans,Perth Wildcats,70 : 73,2015/16
16.12. 19:30,Melbourne United,Sydney Kings,81 : 96,2015/16
13.12. 15:00,Sydney Kings,Perth Wildcats,69 : 87,2015/16
12.12. 19:30,Adelaide 36ers,Townsville,76 : 66,2015/16
11.12. 19:30,Cairns Taipans,Illawarra Hawks,103 : 101,2015/16
,,,,
11.12. 17:30,NZ Breakers,Sydney Kings,96 : 84,2015/16
10.12. 21:30,Perth Wildcats,Melbourne United,113 : 83,2015/16
10.12. 19:30,Townsville,Adelaide 36ers,101 : 100,2015/16
09.12. 19:30,Illawarra Hawks,Cairns Taipans,97 : 82,2015/16
06.12. 15:00,Melbourne United,Adelaide 36ers,89 : 86,2015/16
05.12. 19:30,Townsville,NZ Breakers,75 : 86,2015/16
